id,account_id,exchange_fill_id,terminal_fill_id,exchange_order_id,symbol,side,direction,price,quantity,fee,fee_asset,exchange_position_id,terminal_position_id,is_close,realized_pnl,role,source,timestamp_ms
87,1,qt:116919086,,,STOUSDT,BUY,LONG,0.85147,102.0,0.04342497,USDT,,,0,0.0,,exchange_history_backfill,1775110209786
89,1,qt:116951831,,,STOUSDT,BUY,SHORT,0.86491083,109.0,0.04713763,USDT,,,1,1.46505,,exchange_history_backfill,1775110278719
90,1,qt:116955871,,,STOUSDT,SELL,SHORT,0.8593,3.0,0.00128895,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
91,1,qt:116955870,,,STOUSDT,SELL,SHORT,0.85932,12.0,0.00515591,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
92,1,qt:116955869,,,STOUSDT,SELL,SHORT,0.85934,53.0,0.02277251,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
93,1,qt:116955868,,,STOUSDT,SELL,SHORT,0.85935,12.0,0.0051561,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
94,1,qt:116955867,,,STOUSDT,SELL,SHORT,0.85941,12.0,0.00515646,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
95,1,qt:116955866,,,STOUSDT,SELL,SHORT,0.85945,12.0,0.0051567,USDT,,,0,0.0,,exchange_history_backfill,1775110289219
97,1,qt:116961205,,,STOUSDT,SELL,LONG,0.85259202,104.0,0.044334780000000004,USDT,,,1,0.7037099899999999,,exchange_history_backfill,1775110301093
98,1,qt:117041966,,,STOUSDT,SELL,SHORT,0.90886,86.0,0.03908098,USDT,,,0,0.0,,exchange_history_backfill,1775110419751
99,1,qt:117041965,,,STOUSDT,SELL,SHORT,0.90887,18.0,0.00817983,USDT,,,0,0.0,,exchange_history_backfill,1775110419751
101,1,qt:117045119,,,STOUSDT,SELL,LONG,0.91545,104.0,0.0476034,USDT,,,1,-0.68518,,exchange_history_backfill,1775110423568
102,1,qt:117134898,,,STOUSDT,BUY,LONG,0.89923,102.0,0.04586073,USDT,,,0,0.0,,exchange_history_backfill,1775110569293
103,1,qt:117134897,,,STOUSDT,BUY,LONG,0.89923,2.0,0.00089923,USDT,,,0,0.0,,exchange_history_backfill,1775110569293
105,1,qt:117152072,,,STOUSDT,BUY,SHORT,0.87075615,104.0,0.04527931,USDT,,,1,-2.96128,,exchange_history_backfill,1775110592138
106,1,qt:119510473,,,STOUSDT,SELL,SHORT,0.88363,80.0,0.0353452,USDT,,,0,0.0,,exchange_history_backfill,1775117071755
108,1,qt:119540605,,,STOUSDT,SELL,LONG,0.935,80.0,0.0374,USDT,,,1,-4.1096,,exchange_history_backfill,1775117100861
109,1,qt:120233450,,,STOUSDT,BUY,LONG,1.04033,81.0,0.04213336,USDT,,,0,0.0,,exchange_history_backfill,1775118961556
111,1,qt:120253422,,,STOUSDT,BUY,SHORT,1.05560185,81.0,0.04275187,USDT,,,1,1.23702,,exchange_history_backfill,1775118974096
112,1,qt:120356495,,,STOUSDT,SELL,SHORT,1.05541,71.0,0.01498682,USDT,,,0,0.0,,exchange_history_backfill,1775119080224
114,1,qt:120372148,,,STOUSDT,SELL,LONG,1.07347028,71.0,0.03810818,USDT,,,1,-1.2822799999999999,,exchange_history_backfill,1775119119541
115,1,qt:120409561,,,STOUSDT,SELL,SHORT,1.07596,80.0,0.01721536,USDT,,,0,0.0,,exchange_history_backfill,1775119187338
117,1,qt:120418359,,,STOUSDT,SELL,LONG,1.0908,80.0,0.043632,USDT,,,1,-1.1872,,exchange_history_backfill,1775119197027
118,1,qt:120503450,,,STOUSDT,BUY,LONG,1.11108,24.0,0.00533318,USDT,,,0,0.0,,exchange_history_backfill,1775119307117
119,1,qt:120503473,,,STOUSDT,BUY,LONG,1.11108,47.0,0.01044415,USDT,,,0,0.0,,exchange_history_backfill,1775119307150
121,1,qt:120536942,,,STOUSDT,BUY,SHORT,1.14498,71.0,0.04064679,USDT,,,1,2.4069,,exchange_history_backfill,1775119333869
