trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:116951831,1775110278719,STOUSDT,REALIZED_PNL,1.46505,SHORT,0.87835165,0.86491083,109.0,94.28,1775110209786,0.04713763,USDT,1.46,0.0,1,1
qt:116955866,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.85945,0.0,12.0,10.313400000000001,1775110289219,0.0051567,USDT,0.0,0.0,1,0
qt:116955867,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.85941,0.0,12.0,10.31292,1775110289219,0.00515646,USDT,0.0,0.0,1,0
qt:116955868,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.85935,0.0,12.0,10.312199999999999,1775110289219,0.0051561,USDT,0.0,0.0,1,0
qt:116955869,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.85934,0.0,53.0,45.54502,1775110289219,0.02277251,USDT,0.0,0.0,1,0
qt:116955870,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.85932,0.0,12.0,10.31184,1775110289219,0.00515591,USDT,0.0,0.0,1,0
qt:116955871,1775110289219,STOUSDT,OPEN,0.0,SHORT,0.8593,0.0,3.0,2.5778999999999996,1775110289219,0.00128895,USDT,0.0,0.0,1,0
qt:116961205,1775110301093,STOUSDT,REALIZED_PNL,0.7037099899999999,LONG,0.84582558,0.85259202,104.0,88.67,1775110209786,0.044334780000000004,USDT,0.7100000000000001,0.0,1,1
qt:117041965,1775110419751,STOUSDT,OPEN,0.0,SHORT,0.90887,0.0,18.0,16.359659999999998,1775110419751,0.00817983,USDT,0.0,0.0,1,0
qt:117041966,1775110419751,STOUSDT,OPEN,0.0,SHORT,0.90886,0.0,86.0,78.16196,1775110419751,0.03908098,USDT,0.0,0.0,1,0
qt:117045119,1775110423568,STOUSDT,REALIZED_PNL,-0.68518,LONG,0.92203827,0.91545,104.0,95.2068,1775110209786,0.0476034,USDT,0.0,-0.69,1,1
qt:117134897,1775110569293,STOUSDT,OPEN,0.0,LONG,0.89923,0.0,2.0,1.79846,1775110569293,0.00089923,USDT,0.0,0.0,1,0
qt:117134898,1775110569293,STOUSDT,OPEN,0.0,LONG,0.89923,0.0,102.0,91.72146,1775110569293,0.04586073,USDT,0.0,0.0,1,0
qt:117152072,1775110592138,STOUSDT,REALIZED_PNL,-2.96128,SHORT,0.84228231,0.87075615,104.0,90.56,1775110209786,0.04527931,USDT,0.0,-2.96,1,1
qt:119510473,1775117071755,STOUSDT,OPEN,0.0,SHORT,0.88363,0.0,80.0,70.6904,1775117071755,0.0353452,USDT,0.0,0.0,1,0
qt:119540605,1775117100861,STOUSDT,REALIZED_PNL,-4.1096,LONG,0.98637,0.935,80.0,74.80000000000001,1775110209786,0.0374,USDT,0.0,-4.11,1,1
qt:120233450,1775118961556,STOUSDT,OPEN,0.0,LONG,1.04033,0.0,81.0,84.26673,1775118961556,0.04213336,USDT,0.0,0.0,1,0
qt:120253422,1775118974096,STOUSDT,REALIZED_PNL,1.23702,SHORT,1.0708737,1.05560185,81.0,85.5,1775110209786,0.04275187,USDT,1.24,0.0,1,1
qt:120356495,1775119080224,STOUSDT,OPEN,0.0,SHORT,1.05541,0.0,71.0,74.93411,1775119080224,0.01498682,USDT,0.0,0.0,1,0
qt:120372148,1775119119541,STOUSDT,REALIZED_PNL,-1.2822799999999999,LONG,1.09153056,1.07347028,71.0,76.22,1775110209786,0.03810818,USDT,0.0,-1.28,1,1
qt:120409561,1775119187338,STOUSDT,OPEN,0.0,SHORT,1.07596,0.0,80.0,86.0768,1775119187338,0.01721536,USDT,0.0,0.0,1,0
qt:120418359,1775119197027,STOUSDT,REALIZED_PNL,-1.1872,LONG,1.10564,1.0908,80.0,87.264,1775110209786,0.043632,USDT,0.0,-1.19,1,1
